outbreak_id,outbreak_label,year,location,event_date_type,match_comparability,data_quality,duration_days,curve_final_size,final_size_for_projection,day_25pct,day_50pct,day_75pct,day_90pct,peak_day,peak_new_cases,peak_7d_avg_day,peak_7d_avg_cases,cum_day_14,cum_day_21,cum_day_28,cum_day_42,source_id,source_url,notes,base_match_weight
drc_yambuku_1976_elife09015,Yambuku 1976,1976,Yambuku,onset,line_list_onset,C,60,257.0,257.0,21,28,37,44,28,16.0,31,10.857142857142858,16.0,72.0,130.0,225.0,ELIFE_09015_SUPP1,https://doi.org/10.7554/eLife.09015.017,Onset date selected; the supplement may not fully represent the official outbreak total.,0.45
drc_kikwit_1995_elife09015,Kikwit 1995,1995,Kikwit,notification,line_list_notification,B,408,301.0,301.0,11,20,29,40,10,26.0,14,12.714285714285714,107.0,181.0,225.0,277.0,ELIFE_09015_SUPP1,https://doi.org/10.7554/eLife.09015.017,Notification date selected because it captures the largest case count in the supplement and is report-like.,0.75
drc_mweka_2007_elife09015,Mweka 2007,2007,Mweka,notification,line_list_notification,C,186,264.0,264.0,97,123,149,156,98,20.0,101,7.0,10.0,12.0,12.0,15.0,ELIFE_09015_SUPP1,https://doi.org/10.7554/eLife.09015.017,Notification date selected; onset dates are largely missing in the supplement.,0.45
drc_mweka_2008_2009_elife09015,Mweka 2008–2009,2008,Mweka,onset,line_list_onset,B,39,32.0,32.0,16,26,32,37,15,4.0,33,1.5714285714285714,3.0,12.0,17.0,32.0,ELIFE_09015_SUPP1,https://doi.org/10.7554/eLife.09015.017,Onset date selected because notification dates are incomplete.,0.75
drc_isiro_2012_elife09015,Isiro 2012,2012,Isiro,onset,line_list_onset,B,160,52.0,52.0,27,68,99,112,13,3.0,0,1.0,7.0,9.0,13.0,14.0,ELIFE_09015_SUPP1,https://doi.org/10.7554/eLife.09015.017,Onset date selected because notification dates capture fewer records than onset dates.,0.75
drc_boende_2014_elife09015,Boende 2014,2014,Boende,notification,line_list_notification,B,52,67.0,67.0,8,14,26,38,8,8.0,13,3.7142857142857144,36.0,45.0,55.0,65.0,ELIFE_09015_SUPP1,https://doi.org/10.7554/eLife.09015.017,Notification date selected because it is closest to report-date series and nearly complete.,0.75
COD_2018_EQUATEUR,Equateur 2018,2018,Bikoro / Equateur,reported,report_level_confirmed_plus_probable,B,31,52.0,54.0,4,7,10,11,7,12.0,9,5.428571428571429,49.0,50.0,52.0,52.0,EQUATEUR_2018_CMRIVERS_DRC,https://github.com/cmrivers/ebola_drc/tree/master/drc,DRC MoH report-level confirmed+probable national curve; cumulative monotone corrected; official final size 54 used for projection scaling.,0.75
COD_2018_2020_NORTH_KIVU_ITURI,North Kivu–Ituri 2018–2020,2018,North Kivu / Ituri / South Kivu,reported,weekly_reported_confirmed_plus_probable,A,539,3418.0,3481.0,203,283,352,407,0,43.0,0,43.0,96.375,111.0,122.0,142.0,NK_ITURI_2018_2020_ANDERSEN,https://github.com/andersen-lab/ebola-drc-epidemiology,Weekly national confirmed+probable curve; daily values linearly interpolated for matching; official final size 3481 used.,1.0
