period,fmp,observed_movements,share,lat,lon,source
2026-05-15_2026-05-24,Cyanika,3203,0.2848,-1.348,29.742,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Busunga,2076,0.1846,-1.214,29.745,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Bunagana,1994,0.1773,-1.287,29.595,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Mpondwe,1346,0.1197,0.037,29.725,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Goli,1019,0.0906,2.394,31.039,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Vurra,914,0.0813,3.058,30.873,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Ntoroko Main,370,0.0329,1.050,30.480,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
2026-05-15_2026-05-24,Busanza,323,0.0287,-1.262,29.713,IOM DTM Uganda EVD Flow Monitoring 15-24 May 2026
